cityName,jobName,salary,areaDistrict,jobDegree,experience
北京,python开发工程师,"[267, 367]",东城区,本科,"[0, 0]"
北京,python开发,"[400, 500]",朝阳区,本科,"[3.0, 5.0]"
北京,Python研发工程师,"[667, 1333]",朝阳区,本科,"[3.0, 5.0]"
北京,python工程师,"[600, 833]",朝阳区,本科,"[5.0, 10.0]"
北京,Python,"[500, 833]",海淀区,硕士,"[1.0, 3.0]"
北京,python工程师,"[400, 667]",朝阳区,本科,"[1.0, 3.0]"
北京,Python开发工程师,"[400, 667]",海淀区,本科,"[0, 0]"
北京,Python,"[167, 333]",西城区,本科,"[0, 0]"
北京,python工程师,"[667, 1000]",海淀区,本科,"[3.0, 5.0]"
北京,python开发工程师,"[367, 600]",朝阳区,本科,"[3.0, 5.0]"
北京,Python后台工程师,"[667, 833]",朝阳区,本科,"[0, 0]"
北京,Python工程师,"[333, 500]",昌平区,本科,"[1.0, 3.0]"
北京,Python后端工程师,"[400, 800]",朝阳区,本科,"[1.0, 3.0]"
北京,python开发工程师,"[467, 667]",西城区,大专,"[3.0, 5.0]"
北京,python,"[500, 667]",朝阳区,本科,"[3.0, 5.0]"
北京,金牌Python讲师,"[1167, 1667]",昌平区,本科,"[3.0, 5.0]"
北京,python开发工程师,"[667, 1000]",海淀区,本科,"[5.0, 10.0]"
北京,python,"[300, 467]",朝阳区,本科,"[1.0, 3.0]"
北京,python开发工程师,"[267, 400]",朝阳区,本科,"[1.0, 3.0]"
北京,资深python开发工程师,"[667, 833]",东城区,本科,"[5.0, 10.0]"
北京,Python,"[500, 733]",大兴区,本科,"[1.0, 3.0]"
北京,python开发工程师,"[267, 433]",东城区,本科,"[0, 0]"
北京,C++/Python工程技术岗,"[667, 1333]",海淀区,硕士,"[3.0, 5.0]"
北京,Python开发工程师,"[567, 833]",海淀区,本科,"[3.0, 5.0]"
北京,python开发工程师,"[500, 833]",海淀区,本科,"[3.0, 5.0]"
北京,python后端开发,"[1167, 2167]",朝阳区,本科,"[3.0, 5.0]"
北京,python中级工程师,"[400, 600]",丰台区,本科,"[3.0, 5.0]"
北京,python开发工程师,"[333, 400]",东城区,本科,"[1.0, 3.0]"
北京,python开发,"[600, 767]",朝阳区,本科,"[3.0, 5.0]"
北京,python,"[433, 500]",朝阳区,本科,"[3.0, 5.0]"
北京,Python开发（AI大模型项目）,"[667, 1167]",朝阳区,本科,"[5.0, 10.0]"
北京,python web全栈工程师,"[333, 500]",顺义区,本科,"[1.0, 3.0]"
北京,python工程师,"[667, 1167]",海淀区,本科,"[5.0, 10.0]"
北京,Python开发工程师（初/中级）,"[500, 667]",西城区,本科,"[0, 1.0]"
北京,python高级开发工程师,"[667, 1333]",昌平区,本科,"[1.0, 3.0]"
北京,Python工程师,"[500, 1000]",朝阳区,本科,"[1.0, 3.0]"
北京,python开发,"[433, 500]",昌平区,大专,"[3.0, 5.0]"
北京,Python开发工程师,"[667, 1000]",西城区,本科,"[1.0, 3.0]"
北京,Python开发工程师,"[500, 833]",朝阳区,本科,"[3.0, 5.0]"
北京,python开发工程师,"[667, 833]",朝阳区,本科,"[5.0, 10.0]"
北京,python数据工程师,"[600, 733]",朝阳区,本科,"[3.0, 5.0]"
北京,python开发工程师,"[600, 1167]",海淀区,本科,"[5.0, 10.0]"
北京,中级python开发工程师,"[267, 400]",昌平区,本科,"[3.0, 5.0]"
北京,python,"[300, 467]",昌平区,大专,"[3.0, 5.0]"
北京,Python开发工程师,"[500, 833]",朝阳区,本科,"[3.0, 5.0]"
北京,python开发工程师,"[500, 667]",石景山区,本科,"[1.0, 3.0]"
北京,python开发工程师,"[667, 1333]",海淀区,本科,"[1.0, 3.0]"
北京,Python开发工程师,"[500, 833]",通州区,本科,"[1.0, 3.0]"
上海,Python,"[333, 500]",黄浦区,学历不限,"[0, 0]"
上海,Python,"[2400, 4200]",宝山区,学历不限,"[0, 0]"
上海,兼职python程序员,"[100, 267]",青浦区,大专,"[1.0, 3.0]"
上海,python爬虫工程师（兼职）,"[100, 267]",奉贤区,学历不限,"[0, 0]"
上海,python爬虫,"[433, 600]",浦东新区,本科,"[3.0, 5.0]"
上海,python爬虫,"[667, 1000]",浦东新区,本科,"[3.0, 5.0]"
上海,Python爬虫数据清洗,"[367, 600]",徐汇区,大专,"[1.0, 3.0]"
上海,兼职Python老师,"[300, 600]",青浦区,本科,"[1.0, 3.0]"
上海,Python兼职,"[5400, 6000]",杨浦区,本科,"[5.0, 10.0]"
上海,python,"[467, 833]",浦东新区,大专,"[3.0, 5.0]"
上海,Python爬虫工程师,"[600, 1000]",杨浦区,本科,"[5.0, 10.0]"
上海,python实习生,"[133, 200]",松江区,本科,"[0, 0]"
上海,区块链Python爬虫【远程居家办公】,"[667, 1333]",浦东新区,本科,"[5.0, 10.0]"
上海,高级python爬虫工程师,"[367, 533]",浦东新区,本科,"[3.0, 5.0]"
上海,资深 Python 爬虫开发工程师,"[1000, 1333]",黄浦区,本科,"[3.0, 5.0]"
上海,交易开发python 量化实现工程师,"[1500, 2500]",浦东新区,学历不限,"[0, 0]"
上海,Python,"[433, 867]",浦东新区,本科,"[1.0, 3.0]"
上海,海外爬虫开发工程师（to B Python）,"[500, 833]",徐汇区,本科,"[1.0, 3.0]"
上海,python,"[500, 933]",浦东新区,本科,"[0, 0]"
上海,python爬虫工程师,"[300, 400]",青浦区,大专,"[1.0, 3.0]"
上海,python/scratch讲师,"[200, 367]",浦东新区,大专,"[0, 1.0]"
上海,python工程师,"[200, 400]",杨浦区,学历不限,"[0, 0]"
上海,兼职Python程序员（售前+开发+售后）拿提成,"[100, 267]",浦东新区,学历不限,"[3.0, 5.0]"
上海,python高级开发工程师,"[667, 833]",松江区,大专,"[3.0, 5.0]"
上海,对日python人员,"[567, 1000]",杨浦区,本科,"[3.0, 5.0]"
上海,Python,"[240, 6000]",奉贤区,学历不限,"[0, 1.0]"
上海,python爬虫工程师,"[500, 667]",徐汇区,本科,"[3.0, 5.0]"
上海,爬虫研发工程师,"[1333, 2333]",闵行区,本科,"[5.0, 10.0]"
上海,python开发（华为智能汽车）,"[333, 500]",浦东新区,本科,"[1.0, 3.0]"
上海,python快乐体验工程师（初级）,"[500, 1000]",浦东新区,本科,"[0, 0]"
上海,python（兼职岗位）,"[500, 833]",嘉定区,本科,"[3.0, 5.0]"
上海,Python开发工程师,"[400, 567]",嘉定区,学历不限,"[3.0, 5.0]"
上海,python,"[367, 533]",徐汇区,学历不限,"[3.0, 5.0]"
上海,Python开发（智能汽车-公积金全额-双休）,"[333, 500]",浦东新区,本科,"[0, 0]"
上海,python开发,"[67, 133]",静安区,学历不限,"[0, 0]"
上海,Python 高级工程师（AIGC方向，非外包）,"[333, 500]",普陀区,本科,"[3.0, 5.0]"
上海,Python深度学习,"[840, 1800]",嘉定区,硕士,"[1.0, 3.0]"
上海,python开发工程师,"[567, 667]",杨浦区,大专,"[3.0, 5.0]"
上海,Python开发工程师,"[333, 500]",黄浦区,学历不限,"[1.0, 3.0]"
上海,逆向开发工程师Python,"[400, 667]",闵行区,本科,"[1.0, 3.0]"
上海,爬虫工程师（实习）,"[133, 200]",浦东新区,本科,"[1.0, 3.0]"
上海,Python工程师,"[333, 500]",浦东新区,大专,"[1.0, 3.0]"
上海,python讲师,"[100, 400]",浦东新区,本科,"[0, 1.0]"
上海,python,"[233, 400]",闵行区,大专,"[1.0, 3.0]"
上海,Python 开发工程师,"[300, 467]",青浦区,学历不限,"[3.0, 5.0]"
上海,Python工程师,"[367, 500]",金山区,大专,"[1.0, 3.0]"
上海,高级数据库工程师（Python）,"[467, 667]",闵行区,大专,"[5.0, 10.0]"
上海,python讲师,"[500, 833]",徐汇区,学历不限,"[0, 0]"
上海,爬虫清洗工程师,"[200, 333]",闵行区,本科,"[0, 1.0]"
上海,python编程老师,"[333, 500]",静安区,本科,"[0, 0]"
上海,Python开发工程师,"[333, 500]",青浦区,大专,"[3.0, 5.0]"
